id;colour wine;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1078;white;6,6;0,285;0,49;11,4;0,035;57;137;0,99732;3,08;0,54;8.9;6
1079;white;6,6;0,285;0,49;11,4;0,035;57;137;0,99732;3,08;0,54;8.9;6
1080;white;7,6;0,39;0,32;3,6;0,035;22;93;0,99144;3,08;0,6;12.5;7,456
1081;white;7,6;0,39;0,32;3,6;0,035;22;93;0,99144;3,08;0,6;12.5;7,456
1082;white;6,7;0,18;0,31;10,6;0,035;42;143;0,99572;3,08;0,49;9.8;7,456
1083;white;5,9;0,34;0,3;3,8;0,035;57;135;0,99016;3,09;NA;12;6
1084;white;6,8;0,29;0,22;3,4;0,035;40;122;0,99024;3,09;0,47;NA;6
1085;white;7;0,28;0,36;1;0,035;8;70;0,9899;3,09;NA;12.1;6,324
1086;white;7,4;0,32;0,22;11,7;0,035;44;150;0,99578;3,1;0,45;10.4;5
1087;white;6,6;0,34;0,28;1,3;0,035;32;90;0,9916;3,1;0,42;10.7;NA
1088;white;8,2;0,27;0,43;1,6;0,035;31;128;0,9916;3,1;0,5;12.3;6,324
1089;white;8,2;0,27;0,43;1,6;0,035;31;128;0,9916;3,1;0,5;12.3;6,324
1090;white;5,9;0,27;0,27;5;0,035;14;97;0,99058;NA;0,33;11.8;7,456
1091;white;6,3;0,36;0,28;2,5;0,035;18;73;0,98868;3,1;0,47;12.8;7,456
1092;white;7,8;0,29;NA;8,75;0,035;33;181;0,9962;3,11;0,46;10.7;5
1093;NA;6,9;0,22;0,39;6;0,035;44;141;0,99123;3,11;0,33;12.5;6
1094;white;NA;0,22;0,2;20,8;0,035;58;184;100,022;3,11;0,53;9;6
1095;white;6;0,26;0,26;2,2;0,035;10;72;0,989465;3,11;0,48;12.15;6
1096;white;8;0,33;0,35;10;0,035;22;108;0,99457;3,12;0,36;11.6;6
1097;white;7,2;0,21;0,31;10,5;0,035;36;122;0,99478;3,12;0,4;10.6;6
1098;white;6,2;0,15;0,27;11;0,035;46;116;0,99602;3,12;0,38;9.1;6
1099;white;7,4;0,22;0,26;1,2;0,035;18;97;0,99245;NA;0,41;9.7;6
1100;white;6,8;0,25;0,28;5;0,035;42;126;0,99048;3,12;0,38;12.6;7,456
1101;white;6,9;0,45;0,27;4,7;0,035;17;80;0,99058;3,12;0,36;12.5;7,456
1102;white;6,7;0,41;NA;5,4;0,035;33;115;0,9901;3,12;0,44;128.933.333.333.333;7,456
1103;NA;6,7;0,41;0,24;5,4;0,035;33;115;0,9901;3,12;0,44;128.933.333.333.333;7,456
1104;white;8;0,29;NA;11,7;0,035;40;131;0,9958;3,14;0,34;10.8;5,786
1105;white;8,6;0,23;0,4;4,3;0,035;401.902.749.832.328;147.250.402.414.487;0,9947;3,14;0,53;9.8;6,134
1106;NA;8,1;0,28;0,34;NA;0,035;11;126;0,99232;3,14;0,5;9.8;6,875
1107;white;NA;0,23;0,4;4,2;0,035;17;109;0,9947;3,14;0,53;9.7;5,67
1108;white;8,6;0,23;0,4;4,3;0,035;401.902.749.832.328;147.250.402.414.487;0,9947;3,14;0,53;9.8;6,25
1109;white;6,3;0,34;0,36;4,9;0,035;31;185;0,9946;3,15;0,49;9.7;5
1110;white;6,6;0,19;0,33;1,8;0,035;42;148;0,99196;3,15;0,36;10.2;5
1111;white;6,8;0,19;0,36;1,9;0,035;30;96;0,9917;3,15;0,54;10.8;7
1112;white;6,9;0,19;0,36;1,9;0,035;428.298.237.614.099;168.989.964.880.281;0,9917;3,15;0,54;10.9;6,134
1113;white;7,1;0,44;0,23;5,8;0,035;24;100;0,99062;NA;0,57;13.2;7,456
1114;NA;8,2;0,36;0,29;7,6;0,035;37;122;0,9939;3,16;0,34;12;5,786
1115;white;6,3;0,24;0,29;13,7;0,035;53;134;0,99567;3,17;0,38;10.6;NA
1116;white;6,3;0,24;0,29;13,7;0,035;53;134;0,99567;3,17;0,38;10.6;6
1117;white;6,4;0,105;0,29;NA;0,035;44;140;0,99142;3,17;0,55;10.7;7
1118;white;6,4;0,105;0,29;1,1;0,035;44;140;0,99142;3,17;0,55;10.7;7
1119;white;6,4;0,105;0,29;1,1;0,035;NA;140;0,99142;3,17;0,55;10.7;7
1120;white;7,4;0,2;0,33;1,9;0,035;39;138;0,991;3,17;0,44;11.7;7,356
1121;white;6,2;0,2;0,29;11,8;0,035;21;93;0,99364;3,18;0,34;11.9;6
1122;white;6,7;0,28;0,42;3,5;0,035;43;105;0,99021;3,18;0,38;12.2;6
1123;white;6,9;0,25;NA;1,3;NA;27;82;0,99045;3,18;0,44;12.2;6,324
1124;white;7;0,24;0,34;3;0,035;36;102;0,9905;3,18;0,43;12.2;6,875
1125;NA;6;0,38;0,26;3,5;0,035;38;111;0,98872;3,18;0,47;13.6;7,456
1126;white;6;0,38;0,26;3,5;0,035;38;111;0,98872;3,18;0,47;13.6;7,456
1127;white;9;0,14;0,4;1,8;0,035;42.524.503.003.976;166.609.541.523.668;0,9911;3,19;0,42;11.18;6,134
1128;white;7;NA;0,4;1,7;0,035;16;85;0,9911;3,19;0,42;11.8;6,324
1129;white;7;0,2;0,34;5,7;0,035;32;83;0,9928;NA;0,46;11.5;6,567
1130;white;7;0,2;0,34;5,7;0,035;32;83;0,9928;3,19;NA;11.5;6,567
1131;white;7,7;0,39;0,28;4,9;0,035;36;109;0,9918;3,19;0,58;12.2;7,456
1132;white;7,7;0,39;0,28;4,9;0,035;36;NA;0,9918;3,19;0,58;12.2;7,456
1133;white;5,2;0,285;0,29;5,15;0,035;64;138;0,9895;3,19;0,34;12.4;8,34
1134;white;6,3;0,41;0,22;7,3;0,035;23;117;0,99172;3,2;0,39;11.94;7,456
1135;white;6,3;0,41;0,22;7,3;0,035;23;117;0,99172;3,2;0,39;11.94;7,456
1136;white;9,1;0,27;0,45;10,6;0,035;28;124;0,997;3,2;0,46;10.4;9,567
1137;white;6,1;0,22;0,25;12,1;0,035;54;135;0,99481;3,21;0,4;10.7;5
1138;white;6,5;0,13;0,27;2,6;0,035;32;76;0,9914;3,21;NA;113.333.333.333.333;6
1139;white;NA;0,13;0,27;2,6;0,035;32;76;0,9914;3,21;0,76;113.333.333.333.333;6
1140;white;6;0,27;0,32;3,6;0,035;36;133;0,99215;3,23;0,46;10.8;6
1141;white;7;0,25;0,56;2;0,035;20;95;0,9918;3,23;0,53;11;6,875
1142;white;5,1;0,25;0,36;NA;0,035;40;78;0,9891;3,23;NA;12.1;7,456
1143;white;6,2;0,53;0,02;0,9;0,035;6;81;0,99234;3,24;0,35;9.5;4
1144;white;6,6;0,24;0,27;15,9;0,035;427.571.283.429.733;168.423.197.414.421;0,9982;3,24;0,51;9.3;6,134
1145;white;6,8;0,22;0,31;6,3;0,035;33;170;0,9918;3,24;NA;NA;6,324
1146;white;6,7;0,21;0,34;1,5;0,035;45;123;0,98949;3,24;0,36;12.6;7,456
1147;white;6,6;0,24;0,27;15,8;0,035;46;188;0,9982;3,24;0,51;9.2;5,67
1148;white;6,9;NA;0,33;4,1;0,035;26;155;0,9925;3,25;0,79;12.3;8
1149;white;7;0,29;0,37;1,6;0,035;34;126;0,99058;3,26;0,47;12.3;6
1150;white;5,9;0,29;0,28;3,2;0,035;NA;117;0,98959;3,26;0,42;12.6;6
1151;white;6,9;0,24;0,33;1,7;0,035;47;136;0,99;3,26;0,4;12.6;7
1152;white;8;0,14;0,49;1,5;0,035;42;120;0,9928;3,26;0,4;10.6;7
1153;white;6,9;0,24;0,33;1,7;0,035;421.610.259.117.927;163.775.704.194.366;0,99;3,26;0,4;12.6;6,134
1154;white;7,5;0,14;0,74;1,6;0,035;21;126;0,9933;3,26;0,45;10.2;6,567
1155;white;6,2;0,3;0,31;1,6;0,035;40;106;0,98914;3,26;0,39;12.9;7,456
1156;white;4,9;0,47;0,17;1,9;0,035;60;148;0,98964;3,27;0,35;NA;6
1157;white;6,3;0,35;0,3;5,7;0,035;8;97;0,9927;3,27;0,41;11;7
1158;white;6,3;0,35;0,3;5,7;0,035;8;97;0,9927;3,27;0,41;11;7
1159;white;5;0,29;0,54;5,7;0,035;54;155;0,98976;3,27;0,34;12.9;8
1160;white;6,5;NA;0,31;1,7;0,035;24;79;0,99053;NA;0,69;11.4;7,456
1161;white;6,5;0,29;0,31;1,7;0,035;24;79;0,99053;3,27;0,69;11.4;7,456
1162;white;5,7;0,21;0,25;1,1;0,035;26;81;0,9902;3,31;0,52;11.4;6
1163;white;NA;NA;0,25;1,1;0,035;26;81;0,9902;3,31;0,52;11.4;6
1164;white;5,8;0,42;0,3;2,2;0,035;26;129;0,989;3,32;0,47;12.9;6
1165;white;6,1;0,27;0,31;1,5;0,035;17;83;0,99076;3,32;0,44;11.1;7,456
1166;white;6,1;0,27;0,31;NA;0,035;17;83;0,99076;3,32;0,44;11.1;7,456
1167;white;6,8;0,28;0,34;7,5;0,035;34;177;0,99692;3,33;0,43;9.1;5
1168;white;5,9;0,24;0,12;1,4;0,035;NA;247;0,99358;3,34;0,44;9.6;6
1169;white;6,6;0,16;0,32;1,4;0,035;49;186;0,9906;3,35;0,64;12.4;8,345
1170;white;6,2;0,25;0,28;8,5;0,035;28;108;0,99486;3,4;0,42;10.4;6,875
1171;white;6,1;0,36;0,27;2,1;0,035;16;100;0,9917;3,4;0,71;11.5;7,356
1172;white;6,6;0,25;NA;1,5;0,035;32;127;0,9921;3,41;0,47;11.3;6,567
1173;white;5,9;0,65;NA;5;0,035;20;128;0,99016;3,46;0,48;12.8;6
1174;white;5,6;0,295;0,26;1,1;0,035;40;102;0,99154;3,47;0,56;10.6;6
1175;white;6,3;0,48;0,48;1,8;0,035;35;96;0,99121;3,49;0,74;12.2;6
1176;white;6,5;0,18;0,29;1,7;0,035;39;144;0,9927;3,49;0,5;10.5;6,875
1177;white;5,8;0,2;0,34;1;0,035;40;86;0,98993;3,5;NA;11.7;NA
1178;white;5,3;0,395;0,07;1,3;0,035;26;102;0,992;3,5;0,35;10.6;6,324
1179;white;6,6;0,4;0,32;1,7;0,035;39;84;0,99096;3,59;0,48;12.7;7,456
1180;white;6,3;0,28;0,22;11,5;0,036;27;150;0,99445;3;0,33;10.6;6
1181;white;6,6;0,21;0,5;8,7;0,036;41;191;0,99294;2,96;0,56;11;6
1182;white;8;0,25;0,13;17,2;0,036;49;219;0,9996;2,96;0,46;9.7;5,786
1183;white;8;0,25;0,13;17,2;0,036;49;219;0,9996;2,96;0,46;NA;5,786
1184;white;7,9;0,3;0,27;8,5;NA;20;112;0,9939;2,96;0,46;11.7;6,567
1185;white;8,8;0,35;0,49;1;0,036;14;NA;NA;2,96;0,33;10.5;4,97
1186;white;9,8;0,44;0,4;2,8;0,036;35;167;0,9956;2,97;0,39;9.2;5,786
1187;white;6,7;0,38;0,26;9,55;NA;35;91;0,9919;2,98;0,37;12.4;6
1188;white;7;0,31;0,31;9,1;0,036;45;140;0,99216;2,98;0,31;12;7,456
1189;white;7;0,31;0,31;9,1;0,036;45;140;0,99216;2,98;0,31;12;7,456
1190;white;8,1;0,2;0,3;1,3;0,036;7;49;0,99242;2,99;0,73;10.3;5
1191;white;8,1;0,2;0,3;1,3;0,036;7;49;0,99242;2,99;0,73;10.3;5
1192;white;8;0,25;0,27;9,7;0,036;15;85;0,99406;2,99;0,36;11.2;6
1193;white;8;0,25;0,27;9,7;0,036;15;85;0,99406;2,99;0,36;11.2;6
1194;NA;6,7;0,33;0,34;7,5;0,036;39;124;0,99123;2,99;0,32;12.4;8,34
1195;white;7,6;NA;0,44;1,9;0,036;10;119;0,9913;3,01;NA;12.8;6,324
1196;white;7,6;0,21;0,44;1,9;0,036;10;119;0,9913;3,01;0,7;12.8;6,324
1197;white;8,5;0,23;NA;9,9;0,036;24;88;0,9951;3,02;0,42;10.5;6
1198;white;7,6;0,17;0,46;0,9;0,036;63;147;0,99126;3,02;0,41;10.7;6
1199;white;7,8;0,2;0,2;1,4;0,036;25;83;0,99088;3,03;0,46;11.7;6
1200;white;NA;0,32;0,31;1,7;0,036;46;195;0,993;3,03;0,48;10.5;5,786
1201;white;7,6;0,27;0,36;8;0,036;439.638.722.890.217;177.831.537.347.701;0,9939;3,03;0,33;11;6,134
1202;white;7,5;0,27;0,36;7;0,036;44.022.028.623.771;178.284.951.320.389;0,9939;3,03;0,33;11;6,134
1203;white;7,5;0,27;0,36;7;0,036;45;164;0,9939;3,03;0,33;11;5,67
1204;white;7,5;0,27;0,36;7;0,036;45;164;0,9939;3,03;0,33;11;5,67
1205;white;6;0,24;0,41;1,3;0,036;42;118;0,99018;3,04;0,64;117.333.333.333.333;6
1206;white;6;0,24;0,41;1,3;0,036;42;118;0,99018;3,04;0,64;11.75;6
1207;white;7,5;0,23;0,36;7;0,036;440.074.895.400.837;178.171.597.827.217;0,9938;3,04;0,32;11;6,134
1208;white;7,5;0,23;0,36;7;0,036;43;161;0,9938;3,04;0,32;11;5,67
1209;white;6;0,14;0,17;5,6;0,036;37;127;0,99373;3,05;0,57;9.8;6
1210;white;6,6;0,17;0,36;1,9;0,036;38;110;0,99056;3,05;0,54;11.4;6
1211;white;7,8;0,21;0,49;1,2;0,036;20;99;0,99;NA;0,28;12.1;7
1212;white;6,3;0,22;0,27;4,5;0,036;81;157;0,9928;3,05;0,76;10.7;7,456
1213;white;6,6;0,3;0,25;8;0,036;21;124;0,99362;3,06;0,38;10.8;6
1214;white;6,6;0,3;0,25;8;0,036;21;124;0,99362;3,06;0,38;10.8;6
1215;white;6,6;0,3;0,25;8;0,036;21;124;0,99362;3,06;0,38;NA;6
1216;white;6,3;0,22;0,34;1,2;0,036;32;96;0,98961;NA;0,74;11.6;6
1217;white;6,1;0,34;0,29;2,2;0,036;25;100;0,98938;3,06;0,44;11.8;6
1218;white;7,8;0,27;0,58;11,2;0,036;44;161;0,9977;3,06;0,41;8.9;6,324
1219;white;7,8;0,27;0,58;11,2;0,036;NA;161;0,9977;3,06;0,41;8.9;6,324
1220;white;6,2;0,21;0,38;6,8;0,036;64;245;0,9951;3,06;0,36;9.3;6,324
1221;white;6,6;0,39;0,28;9,2;0,036;10;92;0,99206;3,07;0,35;12.1;6
1222;white;6,7;0,26;0,29;7,1;0,036;28;100;0,99534;3,08;0,36;9.3;6
1223;white;8,8;0,34;0,33;9,7;0,036;46;172;0,9966;3,08;0,4;10.2;5,786
1224;NA;8,8;0,34;0,33;9,7;0,036;46;172;0,9966;3,08;0,4;10.2;5,786
1225;white;7,6;0,23;0,49;10;0,036;45;182;0,9967;3,08;0,58;9.6;6,567
1226;white;6,9;0,19;0,4;1,4;0,036;14;55;0,9909;3,08;0,68;11.5;7,356
1227;white;6,6;0,29;0,29;1,8;NA;38;102;0,98819;3,08;0,42;13.7;7,456
1228;white;6,9;0,75;0,13;6,3;0,036;19;50;0,99312;3,09;0,25;11.1;4
1229;white;7,3;0,18;0,29;NA;0,036;26;101;0,99;3,09;0,37;11.7;6,875
1230;NA;5,8;NA;0,37;1,2;0,036;19;74;0,98853;3,09;0,49;12.7;7,456
1231;white;7,2;0,23;0,46;6,4;0,036;17;85;0,99279;3,1;0,78;11.7;6
1232;white;6,7;0,22;0,33;1,2;0,036;36;86;0,99058;3,1;0,76;11.4;6
1233;white;5,8;0,3;0,42;1,1;0,036;19;113;0,98871;3,1;0,46;12.6;7,456
1234;white;6,7;0,45;0,3;5,3;0,036;27;165;0,99122;3,12;NA;12.2;6
1235;white;6,2;0,3;0,42;2,2;NA;28;128;0,9901;3,13;0,38;11.6;6
1236;white;6,2;NA;0,28;1,6;0,036;28;NA;0,988245;3,14;0,41;13.3;6
1237;white;7,6;0,15;0,4;1,3;0,036;24;112;0,9932;3,14;0,76;10;5,786
1238;white;7,1;0,31;0,38;NA;0,036;10;124;0,9924;3,14;0,44;9.9;6,567
1239;white;6,5;0,38;0,34;3,4;0,036;34;200;0,9937;3,14;0,76;10;5,67
1240;white;7,4;0,36;0,32;1,9;0,036;27;119;0,99196;3,15;0,49;11.2;6
1241;white;6,9;0,2;0,5;10;0,036;78;167;0,9964;3,15;0,55;10.2;6,324
1242;white;7,5;0,33;0,32;11,1;0,036;25;119;0,9962;3,15;0,34;10.5;6,875
1243;white;5,8;0,18;0,37;1,1;0,036;31;96;0,98942;3,16;0,48;12;6
1244;white;6,2;0,32;0,32;2,2;NA;15;70;0,9899;3,16;0,48;12.7;6
1245;white;6,5;NA;0,32;3;0,036;NA;93;0,9906;3,16;0,59;12;6
1246;NA;7,6;0,33;0,35;6,3;0,036;12;126;0,9924;3,16;0,39;12;7
1247;white;8,4;0,18;0,42;5,1;0,036;7;77;0,9939;3,16;0,52;11.7;5,786
1248;white;8,4;0,18;0,42;5,1;0,036;7;77;0,9939;3,16;NA;11.7;5,786
1249;white;7;0,23;0,35;1,4;0,036;31;113;0,9912;3,16;0,48;10.8;7,456
1250;white;7,2;0,19;0,39;1,2;0,036;32;85;0,9918;3,16;0,5;10.5;5,67
1251;white;7,2;0,19;0,39;1,2;0,036;32;85;0,9918;3,16;0,5;10.5;5,67
1252;white;7,8;0,28;0,32;9;0,036;34;115;0,9952;3,17;0,39;10.3;7,356
1253;white;6,9;0,28;0,4;8,2;0,036;15;95;0,9944;3,17;0,33;10.2;5,67
1254;white;NA;0,21;0,41;1,3;0,036;33;85;0,992;3,17;0,51;10.4;5,67
1255;white;6;0,36;0,16;6,3;0,036;36;191;0,9942;3,17;0,62;9.8;5,67
1256;white;NA;0,37;0,14;6,3;0,036;34;185;0,9944;3,17;0,63;9.8;5,67
1257;white;6;0,21;0,3;8,7;0,036;47;127;0,99368;3,18;0,39;10.6;5
1258;NA;6;0,21;0,3;8,7;0,036;47;127;0,99368;3,18;0,39;10.6;5
1259;white;6,5;0,37;0,33;3,5;0,036;23;92;0,99136;3,18;0,38;11.2;6
1260;white;6,5;0,15;0,32;1,3;0,036;19;76;0,98964;3,18;0,41;12.3;6
1261;white;6,4;0,16;0,42;1;0,036;29;113;0,9908;3,18;0,52;11;6
1262;white;8,1;0,17;0,21;1,6;0,036;24;119;0,99396;3,18;0,52;10.1;6
1263;white;6,8;0,23;0,48;1,5;0,036;35;165;0,99162;3,18;0,45;11.3;6
1264;white;8,3;0,21;0,41;4,4;0,036;429.025.191.798.466;169.556.732.346.141;0,9947;3,18;0,53;9.8;6,134
1265;white;8,5;0,21;0,41;4,3;0,036;24;99;0,9947;3,18;0,53;9.7;6,324
1266;white;5,8;0,31;0,33;1,2;0,036;23;99;0,9916;3,18;0,6;10.5;6,324
1267;white;5,9;0,3;0,29;1,1;0,036;NA;56;0,9904;3,19;0,38;11.3;5
1268;white;6,8;0,17;0,36;1,4;0,036;38;108;0,99006;3,19;0,66;12;6
1269;white;6,9;0,31;0,32;1,6;0,036;34;114;0,99068;3,19;0,45;11.4;7,456
1270;white;6,7;0,16;0,37;1,3;0,036;45;125;0,98964;3,19;NA;12.4;7,456
1271;white;6,5;0,23;0,39;1,9;0,036;41;98;0,99;3,19;0,43;11.9;7,456
1272;white;6,5;0,23;0,39;1,9;0,036;41;98;0,99;3,19;0,43;11.9;7,456
1273;white;6;0,28;0,27;15,5;0,036;31;134;0,99408;NA;0,44;13;7,456
1274;white;6;0,28;0,27;15,5;0,036;31;134;0,99408;NA;0,44;13;7,456
1275;white;6;0,28;0,27;15,5;NA;31;134;0,99408;3,19;0,44;13;7,456
1276;white;7,1;0,36;0,28;2,4;0,036;35;115;0,98936;3,19;0,44;13.5;7,456
1277;white;5,8;0,15;0,31;5,9;0,036;7;73;0,99152;3,2;0,43;11.9;NA
1278;white;6,6;0,23;0,37;8,5;0,036;46;153;0,99576;3,2;NA;9.4;6
1279;white;6,6;0,23;0,37;8,5;0,036;46;153;0,99576;3,2;0,48;9.4;6
1280;white;6,2;0,36;0,32;4;0,036;44;92;0,98936;3,2;0,5;13.3;7
1281;white;5,4;0,53;0,16;2,7;0,036;34;128;0,98856;3,2;0,53;13.2;8
1282;white;5,4;0,53;0,16;2,7;0,036;34;128;0,98856;3,2;0,53;13.2;8
1283;white;7;0,53;NA;1;0,036;39;107;0,993;NA;0,32;9;5,786
1284;white;6,9;0,19;0,49;6,6;0,036;49;172;0,9932;3,2;0,27;11.5;6,567
1285;white;6,9;0,19;0,49;6,6;0,036;49;172;0,9932;3,2;0,27;11.5;6,567
1286;white;7,5;0,22;0,33;6,7;0,036;45;138;0,9939;3,2;0,68;11.4;6,567
1287;white;6,2;0,33;0,27;4,9;0,036;30;134;0,9927;3,2;0,42;10.4;7,356
1288;white;7,1;0,29;0,34;7,8;0,036;49;128;0,99397;3,21;0,4;10.7;6
1289;white;7,1;0,29;0,34;7,8;0,036;49;128;0,99397;3,21;0,4;10.7;6
1290;white;7,1;0,43;0,25;2,8;0,036;43;132;0,98975;3,21;0,47;13.4;6
1291;white;6,9;0,19;0,35;1,7;0,036;33;101;0,99315;3,21;0,54;10.8;7
1292;white;6,9;0,19;0,35;1,7;0,036;33;101;0,99315;3,21;0,54;10.8;7
1293;NA;5;0,455;0,18;1,9;0,036;33;106;0,98746;3,21;0,83;14;7,456
1294;white;4,7;0,455;0,18;1,9;0,036;33;106;0,98746;3,21;0,83;14;7,456
1295;white;6,2;NA;0,32;1,1;0,036;74;184;0,99096;3,22;0,41;11;6
1296;white;6,2;0,16;0,32;1,1;0,036;74;184;0,99096;3,22;0,41;11;6
1297;white;6,7;0,24;0,41;8,7;0,036;29;148;0,9952;3,22;0,62;9.9;6,324
1298;white;8,3;0,49;0,43;2,5;0,036;32;116;0,9944;3,23;0,47;10.7;6,875
1299;white;6,9;0,32;NA;1,8;0,036;28;117;0,99269;3,24;0,48;11;NA
1300;white;6,3;0,4;0,24;5,1;0,036;43;131;0,99186;3,24;0,44;11.3;6
1301;white;6,3;0,4;0,24;5,1;0,036;43;131;0,99186;3,24;0,44;11.3;6
1302;white;5,8;0,22;0,29;1,3;0,036;25;68;0,98865;3,24;0,35;12.6;NA
1303;white;6,1;0,41;0,04;1,3;0,036;23;121;0,99228;3,24;0,61;9.9;6,875
1304;white;7,2;0,21;0,33;3;0,036;35;132;0,9928;3,25;0,4;11;6,567
1305;white;6,5;0,33;0,3;3,8;0,036;34;88;0,99028;3,25;0,63;12.5;7,456
1306;white;6,5;0,33;0,3;3,8;0,036;34;88;0,99028;3,25;0,63;12.5;7,456
1307;white;6,5;0,33;0,3;3,8;0,036;34;88;0,99028;3,25;0,63;12.5;7,456
1308;white;5,7;0,16;0,32;1,2;0,036;7;89;0,99111;3,26;0,48;11;5
1309;white;6,9;0,52;0,54;7,9;0,036;23;169;0,99267;3,26;0,47;12.2;6
1310;white;7;0,55;0,05;8;0,036;19;164;0,99269;3,26;0,46;12.2;6
1311;white;5,7;0,22;0,33;1,9;0,036;37;110;0,98945;3,26;0,58;12.4;6
1312;white;7;NA;0,49;4,7;0,036;17;105;0,9916;3,26;0,68;12.4;7
1313;white;6,7;0,27;0,31;15,8;0,036;427.862.065.103.479;168.649.904.400.765;0,9979;3,26;0,56;9.7;6,134
1314;white;6,5;0,5;0,22;NA;0,036;35;131;0,9902;3,26;0,55;13;7,456
1315;white;6,7;0,27;0,31;15,7;0,036;44;179;0,9979;3,26;0,56;9.6;5,67
1316;white;6,2;0,36;0,14;NA;0,036;38;155;0,99622;3,27;0,5;9.4;5
1317;white;6,2;NA;0,14;8,9;0,036;38;155;0,99622;3,27;0,5;9.4;5
1318;white;7,3;0,16;0,35;1,5;0,036;29;108;0,99342;3,27;0,51;10.2;6
1319;white;6,6;0,085;0,33;1,4;0,036;17;109;0,99306;3,27;0,61;9.5;6
1320;white;6,9;0,18;0,36;NA;0,036;40;117;0,9934;3,27;0,95;9.5;7
1321;white;6,9;0,18;0,36;1,3;0,036;40;117;0,9934;3,27;0,95;9.5;7
1322;white;6,9;0,18;0,36;1,3;NA;40;117;0,9934;3,27;0,95;9.5;7
1323;white;6,8;0,28;NA;1,4;0,036;15;115;0,9918;3,27;0,72;11.7;NA
1324;white;6,2;0,35;0,31;2,6;0,036;37;92;0,98938;3,27;0,53;12.8;7,456
1325;white;6;0,33;0,18;3;0,036;5;85;0,99125;3,28;0,4;11.5;4
1326;white;6,4;0,17;0,27;6,7;0,036;88;223;0,9948;3,28;0,35;10.2;6,324
1327;white;5,5;0,375;0,38;1,7;0,036;17;98;0,99142;3,29;0,39;10.5;6
1328;white;6,1;0,32;0,24;1,5;0,036;38;NA;0,9898;3,29;0,42;12.4;7
1329;white;6,1;0,32;0,24;1,5;0,036;38;124;0,9898;3,29;0,42;12.4;7
1330;white;6,2;0,32;0,24;1,5;0,036;431.060.663.514.692;17.114.368.125.055;0,9898;3,29;0,42;12.4;6,134
1331;white;6,1;0,32;0,24;1,5;0,036;431.496.836.025.312;171.483.741.730.066;0,9898;3,29;0,42;12.4;6,134
1332;white;6,4;0,29;0,3;2,9;0,036;25;79;0,99037;3,29;0,6;12.4;7,456
1333;white;7,1;0,29;0,3;16;0,036;58;201;0,99954;3,3;0,67;9;5
1334;white;NA;0,23;0,25;1,6;0,036;28;143;0,99256;3,3;0,54;10.3;6
1335;white;7;0,29;0,35;1,4;0,036;42;109;0,99119;3,31;0,62;11.6;6
1336;white;6,1;0,33;0,3;3;0,036;30;124;NA;3,31;0,4;13.1;7,456
1337;white;6,3;0,23;0,33;1,5;0,036;15;105;0,991;3,32;0,42;11.2;6,324
1338;white;6,7;0,23;0,33;1,8;0,036;23;96;0,9925;3,32;0,4;10.8;6,875
1339;white;6;0,17;0,33;6;0,036;30;111;0,99362;3,32;0,58;101.333.333.333.333;7,456
1340;white;6;0,17;0,33;6;0,036;30;111;0,99362;3,32;0,58;10.15;7,456
1341;white;7,7;0,39;0,49;7,7;0,036;11;110;0,9966;3,33;0,76;10;6
1342;white;6,2;0,26;0,29;2;0,036;16;87;0,99081;3,33;0,61;11.8;6
1343;white;6,1;0,32;0,33;10,7;0,036;27;98;0,99521;3,34;0,52;10.2;NA
1344;white;6,1;0,32;0,33;10,7;0,036;27;98;0,99521;3,34;0,52;10.2;6
1345;white;7,6;0,31;NA;5,8;0,036;NA;109;0,99399;3,34;NA;11;6,875
1346;white;7;0,22;0,26;2,8;0,036;44;132;0,99078;3,34;0,41;12;7,456
1347;white;6,1;0,25;0,3;1,2;0,036;42;107;0,991;3,34;0,56;10.8;7,456
1348;white;6;0,18;0,31;1,4;0,036;14;75;0,99085;3,34;0,58;11.1;8,345
1349;white;6,8;0,22;0,37;1,7;0,036;38;195;0,9908;3,35;0,72;12.5;6,324
1350;white;7;0,27;0,74;1,5;0,036;27;122;0,9926;3,35;0,48;11.2;6,567
1351;white;5,9;0,27;0,29;11,4;0,036;31;115;0,9949;3,35;0,48;10.5;8,345
1352;white;5,2;0,44;0,04;1,4;0,036;43;119;0,9894;3,36;0,33;12.1;8
1353;white;5,2;0,44;0,04;1,4;0,036;43;119;0,9894;3,36;0,33;12.1;8
1354;white;5,2;0,44;0,04;1,4;0,036;431.206.054.351.565;171.257.034.743.722;0,9894;3,36;0,33;12.1;6,134
1355;white;5,2;0,44;0,04;1,4;0,036;431.351.445.188.439;171.370.388.236.894;0,9894;3,36;0,33;12.1;6,134
1356;white;7,2;0,24;0,29;3;0,036;17;117;0,99411;3,36;0,68;10.1;6,875
1357;white;7,2;0,24;0,29;3;0,036;NA;117;0,99411;3,36;0,68;10.1;6,875
1358;white;5,7;0,265;0,28;6,9;0,036;46;150;0,99299;3,36;0,44;10.8;7,456
1359;white;5,7;0,265;0,28;6,9;0,036;46;150;0,99299;3,36;0,44;10.8;7,456
1360;white;5,2;0,5;0,18;2;0,036;23;129;0,98949;3,36;0,77;13.4;7,456
1361;white;6,7;0,14;0,46;1,6;0,036;15;92;0,99264;3,37;0,49;10.9;5
